Order_ID,Order_Date,Customer_ID,Customer_Name,State,Region_Raw,Region,Product_ID,Product_Name,Fabric_Type,Quantity_Meters_Raw,Quantity_Meters,Unit_Price,Discount_Percent,Gross_Amount,Sales_Amount_Raw,Sales_Amount_Expected,Sales_Match,Order_Status_Raw,Order_Status,Payment_Method_Raw,Payment_Method,Order_Month,Order_Quarter,Order_Year
ORDX00052,9/21/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX205,Linen Touch,Linen Blend,87,87,386,5,33582,31902.9,31902.9,Match,Returned,Returned,Bank Transfer,Bank Transfer,Sep,Q3,2026
ORDX00053,12/16/2026,C106,Royal Weave Traders,Gujarat,West,West,TX204,Rayon Flex,Rayon,81,81,247,3,20007,19406.79,19406.79,Match,Delivered,Delivered,Wallet,Wallet,Dec,Q4,2026
ORDX00054,6/7/2026,C102,Metro Fabric House,Maharashtra,West,West,TX210,Matte Polyester,Polyester,693,693,193,0,133749,133749,133749,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Jun,Q2,2026
ORDX00055,12/12/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX207,Poly Viscose,Viscose,508,508,229,8,116332,107025.44,107025.44,Match,Processing,Processing,UPI,UPI,Dec,Q4,2026
ORDX00056,5/9/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX205,Linen Touch,Linen Blend,92,92,375,2,34500,33810,33810,Match,Delivered,Delivered,UPI,UPI,May,Q2,2026
ORDX00057,9/29/2026,C108,Punjab Cloth Market,Punjab,North,North,TX205,Linen Touch,Linen Blend,223,223,405,12,90315,79477.2,79477.2,Match,Delivered,Delivered,Wallet,Wallet,Sep,Q3,2026
ORDX00058,3/17/2026,C107,Coastal Cotton Co,Kerala,South,South,TX203,Premium Denim,Denim,188,188,343,15,64484,54811.4,54811.4,Match,Processing,Processing,UPI,UPI,Mar,Q1,2026
ORDX00059,2/16/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX205,Linen Touch,Linen Blend,128,128,404,10,51712,46540.8,46540.8,Match,Shipped,Shipped,Bank Transfer,Bank Transfer,Feb,Q1,2026
ORDX00060,12/7/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX210,Matte Polyester,Polyester,585,585,170,5,99450,94477.5,94477.5,Match,Delivered,Delivered,Wallet,Wallet,Dec,Q4,2026
ORDX00061,1/10/2026,C107,Coastal Cotton Co,Kerala,South,South,TX210,Matte Polyester,Polyester,134,134,189,2,25326,24819.48,24819.48,Match,Delivered,Delivered,Credit,Credit,Jan,Q1,2026
ORDX00062,4/6/2026,C103,LoomCraft India,Karnataka,South,South,TX210,Matte Polyester,Polyester,359,359,173,8,62107,57138.44,57138.44,Match,Shipped,Shipped,Credit,Credit,Apr,Q2,2026
ORDX00063,6/1/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX204,Rayon Flex,Rayon,414,414,225,0,93150,93150,93150,Match,Processing,Processing,Cash,Cash,Jun,Q2,2026
ORDX00064,3/6/2026,C105,Northern Apparel Works,Delhi,North,North,TX203,Premium Denim,Denim,451,451,334,15,150634,128038.9,128038.9,Match,Delivered,Delivered,Wallet,Wallet,Mar,Q1,2026
ORDX00065,9/10/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX202,Printed Cambric,Printed Cotton,533,533,247,2,131651,129017.98,129017.98,Match,Delivered,Delivered,Credit,Credit,Sep,Q3,2026
ORDX00066,3/31/2026,C108,Punjab Cloth Market,Punjab,North,North,TX210,Matte Polyester,Polyester,452,452,178,3,80456,78042.32,78042.32,Match,Delivered,Delivered,Credit,Credit,Mar,Q1,2026
ORDX00067,3/16/2026,C105,Northern Apparel Works,Delhi,North,North,TX202,Printed Cambric,Printed Cotton,447,447,248,15,110856,94227.6,94227.6,Match,Delivered,Delivered,Wallet,Wallet,Mar,Q1,2026
ORDX00068,12/23/2026,C109,Odisha Style Mills,Odisha,East,East,TX204,Rayon Flex,Rayon,491,491,227,15,111457,94738.45,94738.45,Match,Returned,Returned,Bank Transfer,Bank Transfer,Dec,Q4,2026
ORDX00069,4/6/2026,C102,Metro Fabric House,Maharashtra,West,West,TX201,Organic Cotton,Cotton,698,698,239,12,166822,146803.36,146803.36,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Apr,Q2,2026
ORDX00070,1/13/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX207,Poly Viscose,Viscose,313,313,202,0,63226,63226,63226,Match,Delivered,Delivered,UPI,UPI,Jan,Q1,2026
ORDX00071,8/5/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX204,Rayon Flex,Rayon,376,376,251,8,94376,86825.92,86825.92,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Aug,Q3,2026
ORDX00072,3/17/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX209,Workwear Poly,Poly Cotton,299,299,217,12,64883,57097.04,57097.04,Match,Returned,Returned,Bank Transfer,Bank Transfer,Mar,Q1,2026
ORDX00073,5/24/2026,C103,LoomCraft India,Karnataka,South,South,TX210,Matte Polyester,Polyester,103,103,181,3,18643,18083.71,18083.71,Match,Delivered,Delivered,Cash,Cash,May,Q2,2026
ORDX00074,2/22/2026,C105,Northern Apparel Works,Delhi,North,North,TX204,Rayon Flex,Rayon,185,185,249,15,46065,39155.25,39155.25,Match,Delivered,Delivered,Wallet,Wallet,Feb,Q1,2026
ORDX00075,8/11/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX210,Matte Polyester,Polyester,668,668,172,8,114896,105704.32,105704.32,Match,Cancelled,Cancelled,Cash,Cash,Aug,Q3,2026
ORDX00076,8/27/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX202,Printed Cambric,Printed Cotton,622,622,254,0,157988,157988,157988,Match,Processing,Processing,UPI,UPI,Aug,Q3,2026
ORDX00077,6/23/2026,C106,Royal Weave Traders,Gujarat,West,West,TX207,Poly Viscose,Viscose,687,687,209,15,143583,122045.55,122045.55,Match,Delivered,Delivered,Cash,Cash,Jun,Q2,2026
ORDX00078,1/5/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX202,Printed Cambric,Printed Cotton,63,63,250,8,15750,14490,14490,Match,Returned,Returned,wallet,Wallet,Jan,Q1,2026
ORDX00079,5/25/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX206,Silk Fusion,Silk Blend,545,545,619,12,337355,296872.4,296872.4,Match,Shipped,Shipped,Bank Transfer,Bank Transfer,May,Q2,2026
ORDX00080,12/30/2026,C106,Royal Weave Traders,Gujarat,West,West,TX203,Premium Denim,Denim,216,216,351,12,75816,66718.08,66718.08,Match,Delivered,Delivered,Cash,Cash,Dec,Q4,2026
ORDX00081,6/22/2026,C107,Coastal Cotton Co,Kerala,South,South,TX203,Premium Denim,Denim,687,687,352,2,241824,236987.52,236987.52,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Jun,Q2,2026
ORDX00082,11/13/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX208,Athleisure Knit,Cotton Lycra,395,395,280,12,110600,97328,97328,Match,Shipped,Shipped,Bank Transfer,Bank Transfer,Nov,Q4,2026
ORDX00083,11/8/2026,C109,Odisha Style Mills,Odisha,East,East,TX201,Organic Cotton,Cotton,151,151,235,10,35485,31936.5,31936.5,Match,Delivered,Delivered,Wallet,Wallet,Nov,Q4,2026
ORDX00084,8/1/2026,C105,Northern Apparel Works,Delhi,North,North,TX206,Silk Fusion,Silk Blend,237,237,599,5,141963,134864.85,134864.85,Match,Delivered,Delivered,Cash,Cash,Aug,Q3,2026
ORDX00085,2/16/2026,C104,Eastern Stitch Hub,West Bengal,East,East,TX209,Workwear Poly,Poly Cotton,267,267,203,0,54201,54201,54201,Match,Delivered,Delivered,UPI,UPI,Feb,Q1,2026
ORDX00086,9/16/2026,C105,Northern Apparel Works,Delhi,North,North,TX206,Silk Fusion,Silk Blend,690,690,619,12,427110,375856.8,375856.8,Match,Cancelled,Cancelled,Credit,Credit,Sep,Q3,2026
ORDX00087,6/5/2026,C108,Punjab Cloth Market,Punjab,North,North,TX206,Silk Fusion,Silk Blend,407,407,620,15,252340,214489,214489,Match,Delivered,Delivered,Credit,Credit,Jun,Q2,2026
ORDX00088,11/12/2026,C108,Punjab Cloth Market,Punjab,North,North,TX210,Matte Polyester,Polyester,212,212,197,5,41764,39675.8,39675.8,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Nov,Q4,2026
ORDX00089,5/25/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX206,Silk Fusion,Silk Blend,235,235,615,0,144525,144525,144525,Match,Processing,Processing,Bank Transfer,Bank Transfer,May,Q2,2026
ORDX00090,3/23/2026,C103,LoomCraft India,Karnataka,South,South,TX206,Silk Fusion,Silk Blend,290,290,609,8,176610,162481.2,162481.2,Match,Cancelled,Cancelled,Credit,Credit,Mar,Q1,2026
ORDX00091,9/8/2026,C108,Punjab Cloth Market,Punjab,North,North,TX202,Printed Cambric,Printed Cotton,39,39,268,12,10452,9197.76,9197.76,Match,Delivered,Delivered,UPI,UPI,Sep,Q3,2026
ORDX00092,9/24/2026,C102,Metro Fabric House,Maharashtra,West,West,TX201,Organic Cotton,Cotton,316,316,234,12,73944,65070.72,65070.72,Match,Returned,Returned,Cash,Cash,Sep,Q3,2026
ORDX00093,4/8/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX201,Organic Cotton,Cotton,139,139,240,3,33360,32359.2,32359.2,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Apr,Q2,2026
ORDX00094,12/17/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX205,Linen Touch,Linen Blend,679,679,377,10,255983,230384.7,230384.7,Match,Delivered,Delivered,Wallet,Wallet,Dec,Q4,2026
ORDX00095,7/21/2026,C105,Northern Apparel Works,Delhi,North,North,TX205,Linen Touch,Linen Blend,492,492,391,3,192372,186600.84,186600.84,Match,Delivered,Delivered,UPI,UPI,Jul,Q3,2026
ORDX00096,6/22/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX203,Premium Denim,Denim,480,480,341,0,163680,163680,163680,Match,Processing,Processing,Credit,Credit,Jun,Q2,2026
ORDX00097,2/8/2026,C112,UP Garment Source,Uttar Pradesh,North,North,TX208,Athleisure Knit,Cotton Lycra,188,188,281,2,52828,51771.44,51771.44,Match,Delivered,Delivered,Cash,Cash,Feb,Q1,2026
ORDX00098,9/25/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX202,Printed Cambric,Printed Cotton,88,88,249,5,21912,20816.4,20816.4,Match,Delivered,Delivered,Cash,Cash,Sep,Q3,2026
ORDX00099,4/22/2026,C109,Odisha Style Mills,Odisha,East,East,TX201,Organic Cotton,Cotton,337,337,224,12,75488,66429.44,66429.44,Match,Processing,Processing,Credit,Credit,Apr,Q2,2026
ORDX00100,4/13/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX203,Premium Denim,Denim,456,456,352,15,160512,136435.2,136435.2,Match,Returned,Returned,Credit,Credit,Apr,Q2,2026
ORDX00101,10/13/2026,C102,Metro Fabric House,Maharashtra,West,West,TX202,Printed Cambric,Printed Cotton,369,369,263,3,97047,94135.59,94135.59,Match,Cancelled,Cancelled,Bank Transfer,Bank Transfer,Oct,Q4,2026
ORDX00102,12/1/2026,C109,Odisha Style Mills,Odisha,East,East,TX206,Silk Fusion,Silk Blend,576,576,604,12,347904,306155.52,306155.52,Match,Processing,Processing,Wallet,Wallet,Dec,Q4,2026
ORDX00103,7/3/2026,C104,Eastern Stitch Hub,West Bengal,East,East,TX210,Matte Polyester,Polyester,435,435,186,2,80910,79291.8,79291.8,Match,Delivered,Delivered,Wallet,Wallet,Jul,Q3,2026
ORDX00104,2/22/2026,C102,Metro Fabric House,Maharashtra,West,West,TX206,Silk Fusion,Silk Blend,484,484,624,8,302016,277854.72,277854.72,Match,Shipped,Shipped,Cash,Cash,Feb,Q1,2026
ORDX00105,5/31/2026,C103,LoomCraft India,Karnataka,South,South,TX209,Workwear Poly,Poly Cotton,217,217,220,15,47740,40579,40579,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,May,Q2,2026
ORDX00106,7/3/2026,C108,Punjab Cloth Market,Punjab,North,North,TX204,Rayon Flex,Rayon,315,315,227,3,71505,69359.85,69359.85,Match,Delivered,Delivered,Credit,Credit,Jul,Q3,2026
ORDX00107,10/4/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX203,Premium Denim,Denim,39,39,352,2,13728,13453.44,13453.44,Match,Delivered,Delivered,Wallet,Wallet,Oct,Q4,2026
ORDX00108,5/13/2026,C106,Royal Weave Traders,Gujarat,West,West,TX201,Organic Cotton,Cotton,267,267,235,5,62745,59607.75,59607.75,Match,Cancelled,Cancelled,UPI,UPI,May,Q2,2026
ORDX00109,10/9/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX209,Workwear Poly,Poly Cotton,283,283,214,12,60562,53294.56,53294.56,Match,Shipped,Shipped,Cash,Cash,Oct,Q4,2026
ORDX00110,10/19/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX210,Matte Polyester,Polyester,291,291,186,15,54126,46007.1,46007.1,Match,Shipped,Shipped,Bank Transfer,Bank Transfer,Oct,Q4,2026
ORDX00111,1/14/2026,C108,Punjab Cloth Market,Punjab,North,North,TX206,Silk Fusion,Silk Blend,508,508,617,5,313436,297764.2,297764.2,Match,Delivered,Delivered,Credit,Credit,Jan,Q1,2026
ORDX00112,1/7/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX208,Athleisure Knit,Cotton Lycra,37,37,302,12,11174,9833.12,9833.12,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Jan,Q1,2026
ORDX00113,10/21/2026,C102,Metro Fabric House,Maharashtra,West,West,TX210,Matte Polyester,Polyester,49,49,194,15,9506,8080.1,8080.1,Match,Shipped,Shipped,Bank Transfer,Bank Transfer,Oct,Q4,2026
ORDX00114,9/30/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX207,Poly Viscose,Viscose,265,265,225,10,59625,53662.5,53662.5,Match,Delivered,Delivered,UPI,UPI,Sep,Q3,2026
ORDX00115,1/25/2026,C101,Vardhan Textiles,Tamil Nadu,South,South,TX204,Rayon Flex,Rayon,614,614,227,2,139378,136590.44,136590.44,Match,Shipped,Shipped,Credit,Credit,Jan,Q1,2026
ORDX00116,2/3/2026,C104,Eastern Stitch Hub,West Bengal,East,East,TX206,Silk Fusion,Silk Blend,657,657,602,15,395514,336186.9,336186.9,Match,Delivered,Delivered,Cash,Cash,Feb,Q1,2026
ORDX00117,4/11/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX209,Workwear Poly,Poly Cotton,552,552,215,5,118680,112746,112746,Match,Shipped,Shipped,cash,Cash,Apr,Q2,2026
ORDX00118,8/17/2026,C108,Punjab Cloth Market,Punjab,North,North,TX206,Silk Fusion,Silk Blend,411,411,615,0,252765,252765,252765,Match,Delivered,Delivered,Bank Transfer,Bank Transfer,Aug,Q3,2026
ORDX00119,11/7/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX208,Athleisure Knit,Cotton Lycra,171,171,282,12,48222,42435.36,42435.36,Match,Delivered,Delivered,Wallet,Wallet,Nov,Q4,2026
ORDX00120,8/11/2026,C104,Eastern Stitch Hub,West Bengal,East,East,TX208,Athleisure Knit,Cotton Lycra,40,40,299,2,11960,11720.8,11720.8,Match,Returned,Returned,Bank Transfer,Bank Transfer,Aug,Q3,2026
ORDX00121,4/4/2026,C106,Royal Weave Traders,Gujarat,West,West,TX206,Silk Fusion,Silk Blend,538,538,613,10,329794,296814.6,296814.6,Match,Processing,Processing,Credit,Credit,Apr,Q2,2026
ORDX00122,1/26/2026,C111,Hyderabad Fashion Line,Telangana,South,South,TX208,Athleisure Knit,Cotton Lycra,469,469,291,8,136479,125560.68,125560.68,Match,Delivered,Delivered,Credit,Credit,Jan,Q1,2026
ORDX00123,10/2/2026,C106,Royal Weave Traders,Gujarat,West,West,TX204,Rayon Flex,Rayon,259,259,241,5,62419,59298.05,59298.05,Match,Delivered,Delivered,UPI,UPI,Oct,Q4,2026
ORDX00124,10/20/2026,C110,Jaipur Fashion Yard,Rajasthan,North,North,TX206,Silk Fusion,Silk Blend,173,173,598,12,103454,91039.52,91039.52,Match,Delivered,Delivered,Cash,Cash,Oct,Q4,2026
